Neighborhood Name,Latitude,Longitude,Daily Orders
Koramangala Tech Hub,12.9352,77.6245,4200
Indiranagar 100ft Road,12.9784,77.6408,3800
Whitefield IT Corridor,12.9698,77.7500,5200
Electronic City Phase 1,12.8452,77.6602,4600
HSR Layout Sector 1-7,12.9121,77.6446,3900
Jayanagar 4th Block,12.9308,77.5838,2900
Malleshwaram Heritage,13.0031,77.5643,2700
Hebbal Flyover Zone,13.0358,77.5970,3100
Marathahalli Bridge,12.9591,77.6974,3600
Yelahanka New Town,13.1007,77.5963,2400
Bellandur Outer Ring,12.9260,77.6762,4100
Sarjapur Road Junction,12.9081,77.6891,3300
Rajajinagar Industrial,12.9982,77.5530,2500
Banashankari Stage 2,12.9150,77.5736,2800
Manyata Tech Park Hub,13.0489,77.6200,3400
BTM Layout 2nd Stage,12.9166,77.6101,3100
