Neighborhood Name,Latitude,Longitude,Daily Orders
Andheri West Commercial,19.1363,72.8277,5800
Bandra Kurla Complex (BKC),19.0657,72.8687,6200
Powai Tech Valley,19.1176,72.9060,4900
Lower Parel Business District,18.9953,72.8306,5300
Borivali West Residential,19.2307,72.8567,4100
Thane West Junction,19.2183,72.9781,4400
Navi Mumbai Vashi Hub,19.0771,72.9986,3900
Dadar Central,19.0178,72.8478,4700
Goregaon East IT Hub,19.1688,72.8656,3600
Malad West Suburban,19.1874,72.8427,3300
Chembur East,19.0522,72.8995,3100
Kalyan Logistics Gateway,19.2403,73.1305,2900
